Metric,Mean,Std,Min,Max,Model,timestamp
RMSE,8788.527195271057,2931.5068159062052,3662.5108873558315,15372.61253008089,"XGBoost (FINAL, 30-split robustness check)",2026-07-05 00:08:09
MAE,5811.957600911458,1543.7025487185458,3197.293701171875,8672.28515625,"XGBoost (FINAL, 30-split robustness check)",2026-07-05 00:08:09
R2,0.9209045430024465,0.057398559765276566,0.7072008848190308,0.9855063557624817,"XGBoost (FINAL, 30-split robustness check)",2026-07-05 00:08:09
